round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
42,8,0.54964,0.68218,0.55055,0.45097,0.54964,0.54964,0.54964,0.18675,0.08662,0.0397,0.02362,0.79481,0.98156,0.90789,0.99451,0.8994,0.93909,0.96063,0.98425
42,9,0.57857,0.69412,0.57494,0.49999,0.57857,0.57857,0.57857,0.26434,0.09187,0.06292,0.02532,0.71156,0.9759,0.89685,0.98872,0.85087,0.91378,0.9496,0.97492
43,0,0.63036,0.68206,0.62226,0.59351,0.63036,0.63036,0.63036,0.38451,0.18727,0.11534,0.07808,0.52134,0.90585,0.76133,0.9486,0.71359,0.82893,0.85519,0.93326
43,1,0.67393,0.67777,0.67263,0.67107,0.67393,0.67393,0.67393,0.36935,0.21206,0.16732,0.16567,0.33143,0.70078,0.59347,0.80553,0.47648,0.6438,0.64902,0.81469
43,2,0.59714,0.70587,0.59185,0.52945,0.59714,0.59714,0.59714,0.08849,0.07673,0.05491,0.07583,0.06579,0.15428,0.16118,0.23792,0.09158,0.14649,0.17063,0.24646
43,3,0.525,0.718,0.528,0.39498,0.525,0.525,0.525,0.10126,0.01495,0.01585,-0.00108,0.89568,0.99695,0.98322,0.99817,0.95639,0.97224,0.99569,0.99461
43,4,0.66536,0.70063,0.66306,0.64804,0.66536,0.66536,0.66536,0.21232,0.20076,0.11602,0.19145,0.13366,0.34598,0.29139,0.49215,0.20799,0.32401,0.32673,0.51818
43,5,0.69107,0.69419,0.69229,0.69059,0.69107,0.69107,0.69107,0.37108,0.19218,0.12045,0.13911,0.29082,0.66191,0.59804,0.79022,0.47384,0.59429,0.66089,0.8
43,6,0.69286,0.70857,0.69206,0.68639,0.69286,0.69286,0.69286,0.22167,0.19306,0.14709,0.19189,0.20428,0.42594,0.40432,0.59738,0.26294,0.41003,0.42424,0.61613
43,7,0.61536,0.68873,0.61668,0.57539,0.61536,0.61536,0.61536,0.37763,0.17181,0.13678,0.08336,0.54715,0.92478,0.79448,0.96629,0.72036,0.85714,0.87164,0.95499
43,8,0.70036,0.71016,0.70012,0.69666,0.70036,0.70036,0.70036,0.2712,0.17972,0.16123,0.21457,0.20165,0.47285,0.45066,0.63038,0.28672,0.44795,0.45472,0.66929
43,9,0.56214,0.69395,0.55826,0.4668,0.56214,0.56214,0.56214,0.20104,0.07078,0.04701,0.00642,0.78114,0.98219,0.92264,0.99342,0.88764,0.93465,0.97177,0.97819
44,0,0.66893,0.68991,0.66375,0.65508,0.66893,0.66893,0.66893,0.41572,0.22651,0.16458,0.127,0.39908,0.8148,0.67069,0.8972,0.58162,0.7462,0.76321,0.8902
44,1,0.58143,0.68922,0.58722,0.51939,0.58143,0.58143,0.58143,0.08686,0.07663,0.06118,0.1056,0.07314,0.16,0.16024,0.23687,0.09305,0.15423,0.15098,0.25658
44,2,0.70429,0.70526,0.70369,0.7035,0.70429,0.70429,0.70429,0.31033,0.2124,0.16876,0.13864,0.23804,0.54837,0.49671,0.70911,0.34421,0.51297,0.57019,0.70883
44,3,0.58857,0.68513,0.59087,0.52979,0.58857,0.58857,0.58857,0.34762,0.1562,0.0587,0.03875,0.61271,0.96033,0.8255,0.9817,0.81828,0.87697,0.92241,0.96117
44,4,0.59429,0.68137,0.5905,0.53415,0.59429,0.59429,0.59429,0.11051,0.10899,0.05751,0.10272,0.06804,0.17855,0.15232,0.26131,0.10861,0.16612,0.17228,0.275
44,5,0.53643,0.67733,0.54598,0.43755,0.53643,0.53643,0.53643,0.16775,0.0508,0.03318,0.01318,0.81287,0.98062,0.93791,0.98871,0.90918,0.94236,0.96917,0.98235
